json.hpp:575:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:575:  Missing space after ,  [whitespace/comma] [3]
json.hpp:577:  Missing space after ,  [whitespace/comma] [3]
json.hpp:584:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:591:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:591:  Missing space after ,  [whitespace/comma] [3]
json.hpp:593:  Missing space after ,  [whitespace/comma] [3]
json.hpp:600:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:607:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:607:  Missing space after ,  [whitespace/comma] [3]
json.hpp:609:  Missing space after ,  [whitespace/comma] [3]
json.hpp:615:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:616:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:623:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:623:  Missing space after ,  [whitespace/comma] [3]
json.hpp:625:  Missing space after ,  [whitespace/comma] [3]
json.hpp:632:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:639:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:639:  Missing space after ,  [whitespace/comma] [3]
json.hpp:641:  Missing space after ,  [whitespace/comma] [3]
json.hpp:648:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:655:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:655:  Missing space after ,  [whitespace/comma] [3]
json.hpp:657:  Missing space after ,  [whitespace/comma] [3]
json.hpp:664:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:671:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:671:  Missing space after ,  [whitespace/comma] [3]
json.hpp:673:  Missing space after ,  [whitespace/comma] [3]
json.hpp:681:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:683:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:691:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:691:  Missing space after ,  [whitespace/comma] [3]
json.hpp:693:  Missing space after ,  [whitespace/comma] [3]
json.hpp:701:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:703:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:711:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:711:  Missing space after ,  [whitespace/comma] [3]
json.hpp:713:  Missing space after ,  [whitespace/comma] [3]
json.hpp:720:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:727:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:727:  Missing space after ,  [whitespace/comma] [3]
json.hpp:729:  Missing space after ,  [whitespace/comma] [3]
json.hpp:736:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:743:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:743:  Missing space after ,  [whitespace/comma] [3]
json.hpp:745:  Missing space after ,  [whitespace/comma] [3]
json.hpp:752:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:759:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:759:  Missing space after ,  [whitespace/comma] [3]
json.hpp:761:  Missing space after ,  [whitespace/comma] [3]
json.hpp:768:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:775:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:775:  Missing space after ,  [whitespace/comma] [3]
json.hpp:777:  Missing space after ,  [whitespace/comma] [3]
json.hpp:784:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:791:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:791:  Missing space after ,  [whitespace/comma] [3]
json.hpp:793:  Missing space after ,  [whitespace/comma] [3]
json.hpp:822:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:822:  Missing space after ,  [whitespace/comma] [3]
json.hpp:824:  Missing space after ,  [whitespace/comma] [3]
json.hpp:833:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:833:  Missing space after ,  [whitespace/comma] [3]
json.hpp:844:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:844:  Missing space after ,  [whitespace/comma] [3]
json.hpp:846:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:846:  Missing space after ,  [whitespace/comma] [3]
json.hpp:853:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:853:  Missing space after ,  [whitespace/comma] [3]
json.hpp:855:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:855:  Missing space after ,  [whitespace/comma] [3]
json.hpp:864:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:864:  Missing space after ,  [whitespace/comma] [3]
json.hpp:865:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:874:  Missing space after ,  [whitespace/comma] [3]
json.hpp:878:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:878:  Missing space after ,  [whitespace/comma] [3]
json.hpp:879:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:879:  Missing space after ,  [whitespace/comma] [3]
json.hpp:880:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:880:  Missing space after ,  [whitespace/comma] [3]
json.hpp:882:  Missing space after ,  [whitespace/comma] [3]
json.hpp:889:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:889:  Missing space after ,  [whitespace/comma] [3]
json.hpp:891:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:891:  Missing space after ,  [whitespace/comma] [3]
json.hpp:898:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:898:  Missing space after ,  [whitespace/comma] [3]
json.hpp:900:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:900:  Missing space after ,  [whitespace/comma] [3]
json.hpp:916:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:916:  Missing space after ,  [whitespace/comma] [3]
json.hpp:918:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:918:  Missing space after ,  [whitespace/comma] [3]
json.hpp:925:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:925:  Missing space after ,  [whitespace/comma] [3]
json.hpp:927:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:927:  Missing space after ,  [whitespace/comma] [3]
json.hpp:943:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:943:  Missing space after ,  [whitespace/comma] [3]
json.hpp:945:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:945:  Missing space after ,  [whitespace/comma] [3]
json.hpp:952:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:952:  Missing space after ,  [whitespace/comma] [3]
json.hpp:954:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:954:  Missing space after ,  [whitespace/comma] [3]
json.hpp:970:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:970:  Missing space after ,  [whitespace/comma] [3]
json.hpp:972:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:972:  Missing space after ,  [whitespace/comma] [3]
json.hpp:979:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:979:  Missing space after ,  [whitespace/comma] [3]
json.hpp:981:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:981:  Missing space after ,  [whitespace/comma] [3]
json.hpp:988:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:997:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:997:  Missing space after ,  [whitespace/comma] [3]
json.hpp:999:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:999:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1006:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1006:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1008:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1008:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1024:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1024:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1026:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1026:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1033:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1033:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1035:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1035:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1041:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1042:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1043:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1044:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1045:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1046:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1047:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1048:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1049:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1050:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1051:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1052:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1053:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1054:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1055:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1056:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1058:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1073:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1076:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1080:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1081:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1084:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1088:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1089:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1090:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1091:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1092:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1093:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1096:  Missing space after ,  [whitespace/comma] [3]
