DisplayGUI.h:294:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:295:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:296:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:297:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:298:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:299:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:300:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:301:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:302:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:303:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:304:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:305:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:306:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:307:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:308:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:309:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:310:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:311:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:312:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:313:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:314:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:315:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:316:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:317:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:318:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:319:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:320:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:321:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:322:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:323:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:325:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:326:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:327:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:328:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:329:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:330:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:331:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:332:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:333:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:334:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:335:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:336:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:337:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:338:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:339:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:340:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:341:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:342:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:343:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:344:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:345:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:346:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:347:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:348:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:349:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:350:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:351:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:352:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:352:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
DisplayGUI.h:353:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:355:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:356:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:357:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:358:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:359:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:360:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:361:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:362:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:363:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:365:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:366:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:368:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:370:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:371:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:372:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:373:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:374:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:375:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:376:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:377:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:378:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:379:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:380:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:381:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:382:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:383:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:384:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:384:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
DisplayGUI.h:385:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:386:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:387:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:388:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:389:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:390:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:391:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:391:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DisplayGUI.h:392:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:393:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:394:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:395:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:396:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:396:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DisplayGUI.h:397:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:397:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DisplayGUI.h:398:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:398:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DisplayGUI.h:399:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:399:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DisplayGUI.h:400:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:400:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DisplayGUI.h:401:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:402:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:403:  private: should be indented +1 space inside class TForm1  [whitespace/indent] [3]
DisplayGUI.h:403:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:403:  At least two spaces is best between code and comments  [whitespace/comments] [2]
DisplayGUI.h:404:  Tab found; better to use spaces  [whitespace/tab] [1]
